53;Cheese and Crackers;250;10;Snack;1 oz cheddar cheese, 5 whole wheat crackers
54;Hummus and Carrots;150;5;Snack;1/4 cup hummus, 1 cup baby carrots
55;Yogurt Parfait;300;15;Snack;1 cup plain Greek yogurt, 1/2 cup mixed berries, 1/4 cup granola
56;Chocolate Protein Balls;150;5;Snack;1/4 cup rolled oats, 1/4 cup almond butter, 1 tbsp honey, 1 tbsp cocoa powder
57;Apple Slices with Peanut Butter;250;5;Snack;1 medium apple, 2 tbsp peanut butter
58;Caprese Salad Skewers;200;10;Snack;6 cherry tomatoes, 6 small fresh mozzarella balls, 6 fresh basil leaves, drizzle of balsamic vinegar
59;Sweet Potato Chips;150;2;Snack;1 medium sweet potato, sliced and baked with 1 tbsp olive oil and salt
60;Edamame;150;15;Snack;1/2 cup cooked edamame pods, sprinkled with salt
61;Grilled Chicken Breast;200;30;Dinner;4 oz grilled chicken breast, 1/2 cup roasted vegetables, 1/2 cup quinoa
62;Salmon with Asparagus;350;35;Dinner;6 oz grilled salmon, 1 cup grilled asparagus, 1/2 cup brown rice
63;Beef and Broccoli Stir Fry;400;25;Dinner;4 oz flank steak, 1 cup broccoli florets, 1/2 cup sliced bell peppers, 1/4 cup sliced onions, 1/2 cup brown rice
64;Veggie Burger;400;20;Dinner;1 veggie burger patty, 1 whole wheat bun, 1 slice cheddar cheese, 1/4 cup sliced avocado, 1/4 cup mixed greens
65;Spinach and Feta Stuffed Chicken Breast;400;40;Dinner;4 oz chicken breast stuffed with 1/4 cup cooked spinach and 1/4 cup crumbled feta cheese, served with 1/2 cup roasted vegetables
66;Turkey Meatballs with Zucchini Noodles;400;25;Dinner;4 turkey meatballs, 1 cup spiralized zucchini noodles, 1/4 cup marinara sauce, sprinkle of Parmesan cheese
67;Shrimp and Vegetable Stir Fry;350;20;Dinner;4 oz shrimp, 1 cup mixed vegetables (broccoli, bell peppers, onions, carrots), 1/2 cup brown rice
68;Taco Salad;450;20;Dinner;1 cup mixed greens, 4 oz ground turkey, 1/4 cup black beans, 1/4 cup diced tomatoes, 1/4 cup diced avocado, 1/4 cup shredded cheddar cheese, 1/4 cup salsa
69;Grilled Chicken Caesar Salad;350;30;Lunch;3 oz grilled chicken, 2 cups Romaine lettuce, 1/4 cup croutons, 1/4 cup grated Parmesan cheese, 2 tbsp Caesar dressing
70;Vegetable and Hummus Wrap;350;10;Lunch;1 whole wheat tortilla, 1/4 cup hummus, 1/4 cup diced bell peppers, 1/4 cup sliced cucumbers, 1/4 cup sliced carrots
71;Cobb Salad;450;25;Lunch;2 cups mixed greens, 3 oz grilled chicken, 2 slices cooked bacon, 1 hard-boiled egg, 1/4 cup crumbled blue cheese, 1/4 cup diced tomatoes, 1/4 cup diced avocado
72;Tuna Salad Sandwich;400;20;Lunch;2 slices whole wheat bread, 1 can tuna, 1/4 cup diced celery, 1/4 cup diced onions, 1/4 cup mayonnaise, 1/4 cup mixed greens
73;Chicken and Vegetable Soup;300;20;Lunch;1 cup chicken and vegetable soup (chicken broth, shredded chicken, mixed vegetables)
74;Turkey Chili;400;25;Lunch;1 cup turkey chili (ground turkey, beans, tomatoes, chili powder, cumin)
75;Chicken Fajitas;400;30;Dinner;4 oz grilled chicken, 1/4 cup sliced bell peppers, 1/4 cup sliced onions, 2 whole wheat tortillas, 1/4 cup salsa
76;Steak and Sweet Potato;450;35;Dinner;4 oz grilled steak, 1 medium sweet potato, 1/2 cup roasted vegetables
77;Spaghetti Squash with Turkey Meatballs;400;30;Dinner;3 turkey meatballs, 1 cup spaghetti squash, 1/4 cup marinara sauce, sprinkle of Parmesan cheese
78;Baked Salmon with Asparagus;400;30;Dinner;4 oz baked salmon, 1 cup roasted asparagus, 1/2 cup quinoa
79;BBQ Chicken Sandwich;400;30;Lunch;2 slices whole wheat bread, 3 oz grilled chicken, 1/4 cup BBQ sauce, 1/4 cup mixed greens, 1 slice cheddar cheese
80;Turkey Burger with Sweet Potato Fries;450;30;Dinner;1 turkey burger patty, 1 whole wheat bun, 1 slice cheddar cheese, 1/4 cup sliced avocado, 1/2 cup baked sweet potato fries
81;Greek Yogurt Parfait;250;10;Breakfast;1 cup Greek yogurt, 1/4 cup granola, 1/4 cup mixed berries
82;Veggie Omelet;300;20;Breakfast;3 eggs, 1/4 cup mixed vegetables (bell peppers, onions, mushrooms), 1 slice whole wheat toast
83;Turkey and Cheese Sandwich;350;25;Lunch;2 slices whole wheat bread, 3 oz sliced turkey, 1 slice cheddar cheese, 1/4 cup mixed greens, 1 tbsp mustard
84;Beef and Bean Chili;400;25;Lunch;1 cup beef and bean chili (ground beef, beans, tomatoes, chili powder, cumin)
85;Chicken Alfredo;500;40;Dinner;4 oz grilled chicken, 1 cup whole wheat pasta, 1/4 cup Alfredo sauce, 1/2 cup roasted vegetables
86;Teriyaki Chicken Bowl;450;25;Dinner;4 oz grilled chicken, 1/2 cup brown rice, 1/2 cup mixed vegetables, 1/4 cup teriyaki sauce
87;Grilled Chicken and Vegetable Kabobs;350;30;Dinner;4 oz grilled chicken and mixed vegetables (bell peppers, onions, zucchini) on skewers, 1/2 cup brown rice
88;Pesto and Tomato Flatbread Pizza;400;15;Dinner;1 whole wheat flatbread, 1/4 cup pesto sauce, 1/4 cup sliced tomatoes, sprinkle of mozzarella cheese
89;Roasted Vegetable and Quinoa Salad;350;10;Lunch;2 cups mixed greens, 1/2 cup roasted vegetables (zucchini, bell peppers, onions), 1/2 cup quinoa, 2 tbsp vinaigrette dressing
90;Taco Stuffed Bell Peppers;350;20;Dinner;2 bell peppers stuffed with 4 oz ground turkey, black beans, diced tomatoes, shredded cheddar cheese, topped with salsa
91;Baked Chicken Parmesan;400;40;Dinner;4 oz baked chicken breast, 1/4 cup marinara sauce, 1/4 cup mozzarella cheese, served with 1 cup mixed vegetables
92;Greek Salad with Grilled Chicken;400;35;Lunch;2 cups mixed greens, 3 oz grilled chicken, 1/4 cup crumbled feta cheese, 1/4 cup sliced cucumber, 1/4 cup sliced red onion, 2 tbsp vinaigrette dressing
93;Shrimp Scampi with Whole Wheat Pasta;450;30;Dinner;4 oz shrimp, 1 cup whole wheat pasta, 1/4 cup scampi sauce, served with 1 cup mixed vegetables
94;Grilled Chicken and Veggie Wrap;350;25;Lunch;1 whole wheat wrap, 3 oz grilled chicken, 1/2 cup mixed veggies (bell peppers, onions, zucchini), 1 tbsp hummus
95;Quinoa and Black Bean Salad;300;15;Lunch;2 cups mixed greens, 1/2 cup cooked quinoa, 1/2 cup black beans, 1/4 cup corn, 1/4 cup diced tomatoes, 2 tbsp vinaigrette dressing
96;Tomato and Basil Omelet;250;15;Breakfast;3 eggs, 1/4 cup diced tomatoes, 1/4 cup chopped fresh basil, 1 slice whole wheat toast
97;Beef Stir Fry;450;30;Dinner;4 oz beef strips, 1 cup mixed vegetables (broccoli, carrots, snow peas), 1/2 cup brown rice, 1/4 cup stir fry sauce
98;Vegetable and Hummus Wrap;300;10;Lunch;1 whole wheat wrap, 1/4 cup hummus, 1/2 cup mixed vegetables (bell peppers, onions, carrots)
99;Grilled Chicken Caesar Salad;350;35;Lunch;2 cups romaine lettuce, 3 oz grilled chicken, 1/4 cup croutons, 1 tbsp Caesar dressing, 1 tbsp grated Parmesan cheese
100;Sweet Potato and Black Bean Bowl;400;15;Lunch;1/2 cup brown rice, 1/2 cup roasted sweet potatoes, 1/2 cup black beans, 1/4 cup salsa, 1/4 avocado
101;Baked Cod with Broccoli;350;30;Dinner;4 oz baked cod, 1 cup roasted broccoli, 1/2 cup quinoa
102;Grilled Cheese and Tomato Soup;450;20;Lunch;2 slices whole wheat bread, 2 slices cheddar cheese, 1 cup tomato soup
103;Shrimp and Vegetable Stir Fry;400;25;Dinner;4 oz shrimp, 1 cup mixed vegetables (bell peppers, onions, zucchini), 1/2 cup brown rice, 1/4 cup stir fry sauce
104;Spinach and Feta Omelet;250;15;Breakfast;3 eggs, 1/4 cup fresh spinach, 1/4 cup crumbled feta cheese, 1 slice whole wheat toast
105;Grilled Chicken and Mixed Berry Salad;350;25;Lunch;2 cups mixed greens, 3 oz grilled chicken, 1/4 cup mixed berries, 1/4 cup sliced almonds, 2 tbsp balsamic vinaigrette dressing
106;Turkey and Veggie Wrap;300;20;Lunch;1 whole wheat wrap, 3 oz sliced turkey, 1/2 cup mixed vegetables (bell peppers, onions, carrots), 1 tbsp mustard
107;Grilled Chicken and Quinoa Salad;400;30;Lunch;2 cups mixed greens, 3 oz grilled chicken, 1/2 cup cooked quinoa, 1/4 cup cherry tomatoes, 1/4 cup sliced cucumber, 2 tbsp vinaigrette dressing
